1079,315,1111,316,1110,331,1079,329
1115,379,1154,382,1153,397,1114,394
1009,283,1037,284,1037,300,1009,298
1096,283,1136,284,1135,303,1095,302
1178,319,1242,317,1243,332,1178,334
1039,283,1093,282,1093,300,1039,301
1153,381,1184,383,1183,398,1152,396
997,375,1054,377,1053,392,996,389
1049,378,1114,381,1113,395,1048,393
1030,314,1080,316,1079,331,1029,329
1110,316,1166,318,1166,333,1109,331
988,258,1078,250,1079,269,990,277
1081,250,1146,244,1148,265,1083,271
994,202,1126,187,1130,220,998,236
938,208,990,204,993,237,940,241
980,314,1028,315,1028,328,980,327
1132,194,1235,177,1238,199,1135,216
968,374,1001,375,1000,388,967,388
969,261,996,259,996,274,970,275
