220,225,263,226,262,238,220,237
529,225,623,207,628,234,534,252
45,259,104,245,111,280,52,293
179,298,246,292,248,318,181,323
195,240,240,239,240,252,195,252
166,226,216,226,216,238,166,238
239,254,272,255,272,268,239,267
177,270,253,268,253,283,177,285
184,323,245,319,246,343,185,347
155,238,199,240,198,253,154,251
560,321,608,316,610,333,561,337
554,300,606,294,608,313,556,319
550,281,603,274,605,294,552,301
187,256,249,254,249,266,187,268
145,256,187,257,187,270,145,268
50,296,110,284,115,305,55,318
528,572,638,592,635,609,525,588
227,242,263,242,263,254,227,254
