752,283,781,284,780,294,751,293
846,257,885,259,885,270,846,268
878,247,908,248,908,258,878,256
807,283,835,284,835,294,806,293
809,246,836,246,836,257,809,257
779,246,809,246,809,257,779,257
780,269,813,271,812,281,779,280
753,243,784,246,783,257,752,254
811,270,845,271,845,281,811,280
811,257,838,257,838,268,811,268
752,270,781,270,781,280,752,279
778,285,807,285,807,294,778,294
584,256,712,259,712,285,584,282
777,260,807,260,807,270,777,270
877,258,903,259,903,270,877,268
371,240,522,244,521,285,370,281
751,256,778,258,778,269,750,267
591,232,706,237,705,263,590,257
829,284,877,285,876,296,829,295
574,321,650,323,650,343,573,341
847,248,878,249,878,259,846,258
570,340,654,343,653,366,569,363
763,298,793,299,793,307,763,306
587,360,636,360,635,378,586,377
