253,185,301,186,301,202,252,200
121,305,148,303,150,328,123,330
207,311,263,308,264,326,208,329
260,308,305,304,306,323,262,326
89,309,122,307,124,333,90,335
219,243,262,243,262,259,219,259
215,203,252,200,254,217,216,219
147,302,174,302,174,324,148,324
266,225,336,225,336,241,266,241
262,240,325,240,325,258,262,258
208,188,253,185,254,202,209,205
254,203,334,200,334,215,254,217
225,228,270,227,270,242,226,243
215,270,279,266,280,282,216,285
828,52,877,34,892,77,843,95
219,286,279,283,280,299,219,302
277,281,323,279,324,297,278,299
301,185,344,185,344,199,301,199
279,265,331,262,332,279,280,283
42,261,82,268,80,280,40,274
85,273,137,273,137,290,85,289
39,0,156,43,142,84,24,40
752,94,839,54,856,93,770,133
298,305,323,304,323,324,299,325
90,292,127,290,128,304,91,306
83,251,129,248,130,265,84,268
991,175,1032,171,1036,215,995,219
99,191,133,192,133,205,99,205
