649,142,697,137,699,159,651,164
369,175,437,170,439,194,371,200
514,159,542,157,544,179,516,181
543,154,578,152,580,177,544,179
415,419,498,405,502,426,418,440
255,434,404,412,407,437,259,459
494,250,644,234,648,273,498,290
436,171,512,161,515,185,439,195
577,151,649,143,651,166,579,174
244,189,345,179,348,207,246,217
345,227,433,217,438,257,350,267
436,221,522,214,525,249,439,257
517,205,566,200,569,239,521,244
333,274,495,257,499,293,337,311
186,197,246,192,248,216,188,221
603,392,684,377,687,397,607,412
