777,82,800,83,799,97,777,96
649,84,681,82,682,99,650,101
683,80,726,78,726,95,684,97
742,165,802,163,803,188,742,190
905,87,960,75,965,103,910,114
724,78,758,80,757,95,724,94
683,47,738,46,739,68,683,69
739,45,800,49,799,71,738,67
1102,96,1165,84,1170,110,1107,122
681,247,732,241,734,265,684,271
750,240,804,238,805,262,751,264
672,167,744,166,745,191,673,192
717,97,768,98,768,114,716,113
1076,126,1151,113,1156,138,1080,151
701,318,794,310,796,327,703,335
1093,16,1242,-20,1252,26,1103,62
691,336,803,328,804,345,692,352
748,79,774,80,773,96,747,94
