396,277,419,274,421,288,398,291
419,272,471,267,473,282,421,287
351,283,396,275,399,289,353,297
136,302,167,299,168,309,137,312
173,271,211,268,212,279,174,282
53,271,109,262,114,293,58,301
131,276,171,273,172,285,132,288
161,246,191,242,192,254,163,257
169,12,201,3,206,23,174,32
161,299,218,291,219,304,162,311
15,395,64,378,68,389,18,405
257,352,297,334,305,353,264,371
1065,142,1102,136,1105,157,1068,162
368,296,406,291,407,302,370,307
108,39,168,16,176,36,115,59
155,326,186,322,187,334,156,338
183,322,223,319,224,328,183,332
1069,311,1114,306,1116,319,1070,324
