608,189,664,187,664,203,608,204
526,234,561,233,561,252,526,253
574,191,604,190,605,207,575,208
672,187,706,189,705,204,671,202
499,171,563,170,563,188,499,189
500,214,538,214,538,230,500,231
539,212,623,207,624,228,540,233
962,191,1037,185,1039,210,964,216
1036,187,1129,184,1129,209,1036,212
496,192,580,191,580,209,496,211
524,255,564,254,564,274,524,275
600,252,672,250,673,272,601,274
1009,166,1105,153,1108,179,1012,191
602,204,708,202,709,240,603,242
502,236,527,236,527,254,502,254
569,250,600,250,600,272,569,272
501,258,529,257,530,275,501,276
527,140,564,138,565,157,528,159
