141,300,164,299,164,314,141,314
153,405,196,399,198,414,155,420
279,402,338,392,341,407,282,417
255,406,281,403,283,418,257,421
136,222,195,223,195,236,136,236
337,392,372,386,375,400,340,406
135,266,184,265,184,278,136,280
157,439,192,435,193,451,159,455
257,331,305,327,306,341,258,345
184,263,224,261,225,278,184,279
304,328,363,322,364,335,306,342
90,223,133,222,133,237,90,238
168,331,235,324,236,342,170,349
91,269,142,267,142,280,91,282
278,341,342,336,343,348,279,353
226,88,361,102,357,139,222,124
320,135,355,134,356,168,321,169
208,127,320,133,319,167,206,161
335,222,365,223,365,236,335,235
90,304,137,301,138,317,91,319
92,116,207,122,205,162,90,156
166,297,230,293,231,310,167,314
296,368,368,357,370,373,299,385
85,256,145,253,145,267,86,269
93,72,184,82,179,123,88,112
91,376,184,362,187,382,93,395
92,340,172,332,174,349,94,357
278,252,356,256,355,269,277,266
94,414,138,407,140,421,96,428
98,482,139,475,141,490,101,498
98,448,153,440,155,455,100,463
270,311,308,309,309,322,271,324
128,475,214,457,218,475,131,493
99,530,149,520,152,537,102,547
90,188,179,188,179,203,90,203
99,496,141,489,143,504,102,511
307,287,369,284,369,295,308,299
