377,113,426,114,426,128,377,127
386,2,517,3,516,41,386,40
268,8,382,4,384,43,269,47
257,131,360,130,360,144,257,145
259,42,367,43,366,96,259,95
259,270,283,271,283,282,258,282
374,256,414,258,414,271,373,270
258,252,326,252,326,267,258,267
323,41,495,37,496,91,324,95
266,198,344,201,344,213,266,211
375,181,409,183,408,199,375,198
262,116,330,117,329,130,262,129
273,143,365,143,365,156,273,156
378,272,409,275,408,288,376,284
373,212,430,214,430,226,373,225
380,128,414,131,413,142,380,140
372,226,425,228,424,242,371,240
264,187,330,186,330,197,264,198
373,244,410,245,410,258,373,257
375,155,409,155,408,173,374,172
261,160,296,160,297,172,262,173
